event_time,user_id,event_type,transaction_category,miles_amount,platform,utm_source,country
3/12/2025,u_0059,miles_earned,ecommerce,112,web,referral,SG
3/17/2025,u_0091,miles_earned,dining,586,android,facebook,ID
5/3/2025,u_0094,miles_earned,shopping,852,android,organic,ID
5/18/2025,u_0099,miles_earned,shopping,1077,web,facebook,SG
4/14/2025,u_0088,reward_search,lululemon,,web,google,ID
3/13/2025,u_0024,reward_search,shopee,,ios,facebook,MY
4/11/2025,u_0021,like,,,web,facebook,PH
6/5/2025,u_0071,miles_earned,dining,576,android,facebook,TH
4/24/2025,u_0094,miles_earned,ecommerce,87,android,organic,ID
6/3/2025,u_0079,miles_redeemed,hotel,996,ios,referral,SG
5/24/2025,u_0019,miles_earned,dining,580,android,facebook,SG
3/8/2025,u_0092,like,,,web,referral,ID
5/11/2025,u_0009,share,,,ios,google,TH
5/8/2025,u_0020,share,,,android,facebook,TH
4/25/2025,u_0026,miles_earned,dining,587,ios,tiktok,MY
3/31/2025,u_0030,miles_earned,shopping,1128,web,facebook,SG
5/4/2025,u_0015,miles_redeemed,hotel,905,android,organic,SG
3/17/2025,u_0058,miles_earned,ecommerce,96,ios,google,SG
4/15/2025,u_0048,share,,,web,facebook,SG
4/17/2025,u_0011,miles_earned,dining,418,web,referral,PH
6/1/2025,u_0000,miles_redeemed,hotel,1015,ios,facebook,MY
5/25/2025,u_0015,share,,,ios,organic,SG
3/31/2025,u_0013,miles_earned,dining,427,web,organic,PH
4/21/2025,u_0070,miles_redeemed,flight,1722,ios,google,PH
3/23/2025,u_0003,miles_earned,shopping,1025,android,organic,MY
5/28/2025,u_0072,share,,,ios,referral,ID
5/25/2025,u_0021,miles_earned,ecommerce,87,ios,facebook,PH
4/3/2025,u_0075,miles_redeemed,flight,2253,web,organic,MY
5/4/2025,u_0083,share,,,android,facebook,PH
5/1/2025,u_0088,miles_earned,ecommerce,97,android,google,ID
3/21/2025,u_0080,miles_earned,ecommerce,95,android,organic,MY
5/15/2025,u_0043,share,,,ios,referral,ID
4/25/2025,u_0070,reward_search,apple,,web,google,PH
5/16/2025,u_0017,miles_redeemed,flight,1629,android,google,PH
4/24/2025,u_0086,reward_search,apple,,ios,facebook,PH
3/7/2025,u_0075,miles_earned,dining,563,android,organic,MY
4/6/2025,u_0036,miles_earned,ecommerce,85,android,google,SG
3/9/2025,u_0049,miles_redeemed,hotel,1163,web,referral,MY
5/30/2025,u_0003,miles_earned,ecommerce,98,ios,organic,MY
5/25/2025,u_0012,reward_search,apple,,ios,facebook,PH
5/21/2025,u_0084,miles_earned,shopping,989,web,facebook,PH
4/4/2025,u_0025,miles_earned,ecommerce,117,web,google,ID
3/13/2025,u_0072,miles_earned,ecommerce,96,android,referral,ID
5/25/2025,u_0034,miles_earned,shopping,953,web,facebook,MY
6/1/2025,u_0015,miles_earned,dining,553,web,organic,SG
3/15/2025,u_0004,miles_earned,ecommerce,103,web,facebook,SG
4/20/2025,u_0028,miles_earned,ecommerce,116,android,referral,SG
3/14/2025,u_0038,like,,,ios,tiktok,TH
5/15/2025,u_0034,miles_earned,dining,428,ios,facebook,MY
5/15/2025,u_0069,miles_earned,dining,429,ios,referral,TH
3/19/2025,u_0045,reward_search,lululemon,,android,google,ID
4/19/2025,u_0068,miles_earned,dining,536,web,organic,TH
4/26/2025,u_0084,miles_earned,shopping,866,web,facebook,PH
3/31/2025,u_0033,share,,,ios,google,TH
5/25/2025,u_0053,miles_redeemed,flight,2225,web,tiktok,TH
4/14/2025,u_0068,miles_earned,ecommerce,81,web,organic,TH
3/26/2025,u_0036,miles_earned,dining,507,web,google,SG
4/25/2025,u_0065,miles_earned,dining,447,ios,google,PH
5/12/2025,u_0004,miles_earned,dining,557,android,facebook,SG
3/25/2025,u_0034,miles_earned,ecommerce,114,android,facebook,MY
4/4/2025,u_0062,miles_earned,ecommerce,108,android,facebook,MY
6/5/2025,u_0012,miles_redeemed,hotel,1093,android,facebook,PH
5/5/2025,u_0014,share,,,android,tiktok,ID
4/16/2025,u_0009,miles_redeemed,flight,2329,ios,google,TH
4/23/2025,u_0064,miles_earned,shopping,1029,android,tiktok,ID
3/18/2025,u_0092,miles_redeemed,flight,2181,web,referral,ID
3/28/2025,u_0036,miles_earned,dining,487,ios,google,SG
4/7/2025,u_0070,miles_earned,shopping,1128,ios,google,PH
4/29/2025,u_0030,like,,,android,facebook,SG
3/28/2025,u_0017,reward_search,shopee,,web,google,PH
3/27/2025,u_0015,miles_earned,shopping,1076,ios,organic,SG
3/14/2025,u_0088,miles_earned,ecommerce,87,android,google,ID
5/3/2025,u_0043,miles_earned,ecommerce,82,android,referral,ID
3/28/2025,u_0077,miles_earned,ecommerce,103,android,facebook,SG
5/28/2025,u_0034,miles_earned,dining,484,ios,facebook,MY
5/24/2025,u_0016,miles_earned,dining,490,ios,referral,ID
3/14/2025,u_0085,like,,,android,facebook,ID
3/29/2025,u_0092,miles_earned,ecommerce,91,android,referral,ID
5/7/2025,u_0046,miles_earned,ecommerce,82,android,google,SG
3/27/2025,u_0052,miles_earned,ecommerce,94,web,referral,SG
3/19/2025,u_0032,miles_earned,dining,560,android,google,SG
5/31/2025,u_0090,miles_earned,dining,492,web,google,MY
4/28/2025,u_0065,miles_earned,shopping,1030,ios,google,PH
4/19/2025,u_0097,like,,,ios,tiktok,MY
5/17/2025,u_0017,miles_earned,ecommerce,110,android,google,PH
5/19/2025,u_0053,miles_earned,ecommerce,104,web,tiktok,TH
3/24/2025,u_0079,reward_search,lululemon,,ios,referral,SG
3/16/2025,u_0046,reward_search,lululemon,,android,google,SG
4/15/2025,u_0074,miles_redeemed,flight,1930,android,google,MY
4/14/2025,u_0080,miles_earned,ecommerce,119,android,organic,MY
4/18/2025,u_0026,miles_earned,ecommerce,86,ios,tiktok,MY
5/12/2025,u_0074,like,,,ios,google,MY
5/7/2025,u_0040,miles_earned,dining,595,web,tiktok,MY
6/4/2025,u_0014,miles_earned,dining,484,android,tiktok,ID
3/16/2025,u_0061,share,,,android,referral,PH
4/13/2025,u_0034,miles_earned,dining,557,ios,facebook,MY
4/7/2025,u_0007,miles_earned,dining,493,android,facebook,PH
5/24/2025,u_0054,miles_earned,shopping,1088,ios,referral,ID
3/30/2025,u_0085,share,,,web,facebook,ID
3/24/2025,u_0016,miles_earned,dining,534,android,referral,ID
4/17/2025,u_0058,miles_redeemed,flight,1904,android,google,SG
4/14/2025,u_0092,miles_earned,dining,472,android,referral,ID
4/1/2025,u_0071,miles_earned,dining,540,ios,facebook,TH
3/30/2025,u_0007,miles_earned,dining,441,android,facebook,PH
5/29/2025,u_0063,like,,,web,organic,MY
4/16/2025,u_0087,miles_earned,dining,535,ios,organic,SG
5/24/2025,u_0086,miles_earned,ecommerce,85,ios,facebook,PH
4/26/2025,u_0053,miles_earned,ecommerce,97,android,tiktok,TH
3/12/2025,u_0089,share,,,web,tiktok,TH
6/5/2025,u_0036,share,,,ios,google,SG
5/22/2025,u_0043,miles_earned,dining,572,ios,referral,ID
6/3/2025,u_0037,like,,,web,google,TH
5/30/2025,u_0005,like,,,ios,tiktok,ID
5/23/2025,u_0009,reward_search,lululemon,,android,google,TH
3/22/2025,u_0055,miles_earned,dining,408,android,facebook,MY
4/20/2025,u_0044,miles_earned,ecommerce,119,web,organic,SG
3/27/2025,u_0023,share,,,ios,google,TH
4/12/2025,u_0045,miles_earned,shopping,1024,android,google,ID
3/13/2025,u_0000,miles_earned,shopping,840,web,facebook,MY
4/10/2025,u_0006,share,,,web,organic,MY
6/4/2025,u_0059,share,,,ios,referral,SG
3/31/2025,u_0090,miles_redeemed,flight,2171,android,google,MY
5/17/2025,u_0030,like,,,web,facebook,SG
4/17/2025,u_0024,miles_redeemed,hotel,1110,ios,facebook,MY
4/14/2025,u_0033,reward_search,apple,,ios,google,TH
6/2/2025,u_0013,miles_earned,shopping,1120,android,organic,PH
6/5/2025,u_0097,share,,,web,tiktok,MY
4/26/2025,u_0034,miles_earned,ecommerce,91,ios,facebook,MY
5/11/2025,u_0001,miles_earned,dining,547,ios,organic,SG
3/21/2025,u_0037,miles_redeemed,hotel,1177,ios,google,TH
4/3/2025,u_0072,miles_redeemed,hotel,1154,ios,referral,ID
6/3/2025,u_0020,miles_redeemed,flight,1759,ios,facebook,TH
4/28/2025,u_0081,reward_search,apple,,web,organic,TH
4/25/2025,u_0033,miles_redeemed,hotel,1135,ios,google,TH
5/14/2025,u_0002,reward_search,shopee,,web,facebook,TH
3/13/2025,u_0088,miles_earned,dining,405,web,google,ID
4/29/2025,u_0028,miles_earned,dining,539,web,referral,SG
4/22/2025,u_0054,miles_redeemed,flight,1683,web,referral,ID
5/23/2025,u_0026,miles_earned,ecommerce,118,web,tiktok,MY
3/22/2025,u_0022,miles_earned,ecommerce,91,android,facebook,SG
6/2/2025,u_0095,reward_search,apple,,android,facebook,MY
3/15/2025,u_0036,miles_earned,ecommerce,114,web,google,SG
3/24/2025,u_0035,miles_earned,shopping,1095,android,organic,SG
4/30/2025,u_0098,miles_redeemed,flight,2000,ios,facebook,MY
5/7/2025,u_0004,miles_earned,ecommerce,100,web,facebook,SG
3/29/2025,u_0064,reward_search,lululemon,,android,tiktok,ID
3/18/2025,u_0022,like,,,ios,facebook,SG
5/26/2025,u_0098,miles_earned,dining,593,android,facebook,MY
3/30/2025,u_0019,reward_search,apple,,android,facebook,SG
4/30/2025,u_0075,like,,,web,organic,MY
5/2/2025,u_0090,miles_earned,dining,461,android,google,MY
4/14/2025,u_0066,like,,,ios,referral,PH
4/29/2025,u_0025,miles_earned,ecommerce,89,web,google,ID
4/23/2025,u_0064,miles_earned,ecommerce,90,web,tiktok,ID
5/30/2025,u_0014,share,,,web,tiktok,ID
3/26/2025,u_0019,miles_earned,ecommerce,97,ios,facebook,SG
5/11/2025,u_0042,miles_earned,shopping,1054,web,tiktok,PH
3/29/2025,u_0005,miles_earned,ecommerce,117,android,tiktok,ID
4/12/2025,u_0001,miles_earned,shopping,907,android,organic,SG
5/7/2025,u_0017,miles_earned,ecommerce,116,ios,google,PH
4/3/2025,u_0049,share,,,ios,referral,MY
4/5/2025,u_0094,like,,,android,organic,ID
5/14/2025,u_0095,miles_earned,ecommerce,115,ios,facebook,MY
3/14/2025,u_0033,miles_earned,ecommerce,101,android,google,TH
4/18/2025,u_0017,reward_search,shopee,,android,google,PH
6/5/2025,u_0027,miles_earned,dining,574,web,tiktok,SG
6/5/2025,u_0067,miles_earned,dining,419,android,referral,MY
3/14/2025,u_0067,miles_earned,dining,499,web,referral,MY
3/27/2025,u_0049,miles_earned,ecommerce,113,ios,referral,MY
3/31/2025,u_0036,miles_earned,dining,400,ios,google,SG
5/30/2025,u_0039,reward_search,shopee,,web,google,SG
5/26/2025,u_0057,miles_earned,dining,575,android,organic,TH
5/25/2025,u_0039,miles_earned,dining,447,android,google,SG
4/10/2025,u_0099,miles_earned,dining,505,android,facebook,SG
3/22/2025,u_0001,reward_search,lululemon,,ios,organic,SG
5/21/2025,u_0097,miles_earned,ecommerce,83,ios,tiktok,MY
5/10/2025,u_0089,miles_earned,ecommerce,115,web,tiktok,TH
5/1/2025,u_0070,miles_redeemed,hotel,951,ios,google,PH
6/4/2025,u_0092,like,,,android,referral,ID
5/5/2025,u_0042,miles_earned,shopping,1123,web,tiktok,PH
3/8/2025,u_0080,miles_earned,ecommerce,85,android,organic,MY
5/20/2025,u_0096,miles_earned,shopping,1087,android,facebook,MY
4/3/2025,u_0049,share,,,web,referral,MY
5/6/2025,u_0065,reward_search,lululemon,,ios,google,PH
5/31/2025,u_0065,reward_search,shopee,,android,google,PH
3/19/2025,u_0025,like,,,ios,google,ID
3/18/2025,u_0030,miles_earned,shopping,1165,android,facebook,SG
3/17/2025,u_0002,miles_earned,ecommerce,117,web,facebook,TH
4/26/2025,u_0030,miles_earned,dining,447,ios,facebook,SG
4/1/2025,u_0059,miles_earned,shopping,855,web,referral,SG
5/1/2025,u_0005,share,,,ios,tiktok,ID
5/11/2025,u_0054,share,,,android,referral,ID
3/26/2025,u_0055,miles_earned,ecommerce,105,android,facebook,MY
5/3/2025,u_0010,miles_earned,dining,502,ios,tiktok,MY
3/31/2025,u_0029,miles_earned,shopping,964,web,referral,ID
4/20/2025,u_0060,miles_earned,ecommerce,112,android,organic,PH
5/28/2025,u_0020,miles_earned,ecommerce,105,web,facebook,TH
5/23/2025,u_0047,miles_earned,ecommerce,107,android,organic,TH
3/16/2025,u_0075,like,,,web,organic,MY
4/14/2025,u_0013,miles_earned,dining,553,ios,organic,PH
4/1/2025,u_0021,miles_earned,shopping,982,web,facebook,PH
3/8/2025,u_0013,reward_search,lululemon,,ios,organic,PH
5/16/2025,u_0085,miles_earned,ecommerce,97,web,facebook,ID
5/4/2025,u_0065,miles_earned,dining,565,android,google,PH
3/31/2025,u_0002,miles_earned,dining,567,android,facebook,TH
5/13/2025,u_0011,miles_earned,ecommerce,100,web,referral,PH
4/26/2025,u_0018,miles_earned,ecommerce,115,web,google,PH
4/15/2025,u_0067,miles_earned,shopping,1119,web,referral,MY
3/8/2025,u_0040,reward_search,apple,,web,tiktok,MY
3/14/2025,u_0049,miles_earned,ecommerce,98,web,referral,MY
5/26/2025,u_0016,miles_earned,ecommerce,96,ios,referral,ID
5/28/2025,u_0026,miles_earned,ecommerce,112,android,tiktok,MY
4/25/2025,u_0096,miles_earned,dining,507,android,facebook,MY
5/21/2025,u_0019,share,,,ios,facebook,SG
4/29/2025,u_0068,miles_earned,ecommerce,116,android,organic,TH
3/21/2025,u_0038,miles_redeemed,flight,1858,android,tiktok,TH
3/19/2025,u_0074,miles_redeemed,hotel,1100,ios,google,MY
4/4/2025,u_0099,miles_redeemed,hotel,1157,ios,facebook,SG
5/27/2025,u_0055,reward_search,apple,,ios,facebook,MY
5/18/2025,u_0022,miles_earned,shopping,1046,ios,facebook,SG
5/24/2025,u_0005,miles_redeemed,flight,1762,web,tiktok,ID
5/27/2025,u_0077,miles_earned,ecommerce,91,ios,facebook,SG
3/26/2025,u_0041,share,,,android,google,MY
3/30/2025,u_0021,share,,,android,facebook,PH
3/17/2025,u_0077,miles_earned,ecommerce,93,ios,facebook,SG
5/17/2025,u_0003,miles_redeemed,flight,1812,web,organic,MY
5/26/2025,u_0003,miles_earned,shopping,1043,ios,organic,MY
4/13/2025,u_0023,miles_earned,shopping,930,android,google,TH
5/2/2025,u_0090,miles_earned,dining,424,web,google,MY
3/21/2025,u_0019,miles_earned,dining,540,ios,facebook,SG
5/30/2025,u_0062,share,,,ios,facebook,MY
5/24/2025,u_0070,miles_earned,shopping,1093,web,google,PH
6/3/2025,u_0000,miles_redeemed,hotel,1057,web,facebook,MY
5/19/2025,u_0045,miles_earned,dining,436,web,google,ID
5/26/2025,u_0062,miles_earned,ecommerce,102,web,facebook,MY
3/10/2025,u_0052,miles_earned,ecommerce,84,ios,referral,SG
5/13/2025,u_0082,miles_earned,dining,467,web,tiktok,SG
4/6/2025,u_0056,miles_redeemed,flight,1931,web,facebook,PH
5/30/2025,u_0005,miles_earned,dining,441,ios,tiktok,ID
5/19/2025,u_0018,reward_search,shopee,,ios,google,PH
5/24/2025,u_0093,miles_earned,ecommerce,111,web,referral,MY
5/19/2025,u_0072,like,,,ios,referral,ID
3/31/2025,u_0036,reward_search,apple,,ios,google,SG
5/17/2025,u_0033,reward_search,apple,,web,google,TH
3/17/2025,u_0082,miles_earned,ecommerce,115,web,tiktok,SG
5/25/2025,u_0021,reward_search,shopee,,android,facebook,PH
5/24/2025,u_0032,miles_earned,shopping,949,web,google,SG
3/27/2025,u_0059,miles_earned,shopping,1120,android,referral,SG
5/20/2025,u_0004,miles_earned,dining,503,ios,facebook,SG
4/18/2025,u_0025,like,,,web,google,ID
4/4/2025,u_0038,share,,,web,tiktok,TH
5/18/2025,u_0084,miles_earned,dining,514,android,facebook,PH
3/28/2025,u_0010,miles_earned,ecommerce,104,web,tiktok,MY
3/9/2025,u_0086,reward_search,lululemon,,ios,facebook,PH
3/25/2025,u_0023,miles_earned,ecommerce,97,android,google,TH
4/6/2025,u_0088,miles_redeemed,flight,2056,android,google,ID
5/24/2025,u_0056,miles_earned,shopping,1157,ios,facebook,PH
6/2/2025,u_0092,reward_search,shopee,,android,referral,ID
4/1/2025,u_0038,miles_earned,ecommerce,119,android,tiktok,TH
5/4/2025,u_0044,miles_earned,ecommerce,85,web,organic,SG
4/12/2025,u_0087,miles_redeemed,flight,1624,web,organic,SG
6/4/2025,u_0072,share,,,android,referral,ID
4/25/2025,u_0015,share,,,ios,organic,SG
5/31/2025,u_0042,share,,,web,tiktok,PH
3/18/2025,u_0032,miles_redeemed,flight,1832,ios,google,SG
6/3/2025,u_0035,miles_earned,dining,533,ios,organic,SG
3/23/2025,u_0030,miles_earned,dining,435,android,facebook,SG
6/2/2025,u_0030,miles_earned,ecommerce,85,android,facebook,SG
3/31/2025,u_0066,miles_earned,shopping,806,web,referral,PH
3/17/2025,u_0023,like,,,android,google,TH
4/15/2025,u_0001,miles_earned,dining,479,web,organic,SG
5/12/2025,u_0047,like,,,ios,organic,TH
4/5/2025,u_0060,miles_earned,ecommerce,97,web,organic,PH
5/1/2025,u_0060,miles_redeemed,hotel,1098,android,organic,PH
4/22/2025,u_0012,reward_search,apple,,web,facebook,PH
4/11/2025,u_0096,like,,,web,facebook,MY
4/28/2025,u_0085,miles_redeemed,hotel,1185,ios,facebook,ID
3/30/2025,u_0009,reward_search,shopee,,android,google,TH
5/10/2025,u_0008,miles_earned,dining,428,android,google,SG
3/8/2025,u_0006,reward_search,lululemon,,web,organic,MY
5/30/2025,u_0018,reward_search,shopee,,web,google,PH
4/25/2025,u_0022,miles_earned,ecommerce,95,android,facebook,SG
5/11/2025,u_0011,miles_earned,ecommerce,93,web,referral,PH
5/13/2025,u_0066,miles_earned,ecommerce,81,web,referral,PH
5/7/2025,u_0047,miles_earned,shopping,854,android,organic,TH
4/9/2025,u_0061,miles_earned,shopping,816,ios,referral,PH
3/14/2025,u_0024,miles_earned,shopping,1062,android,facebook,MY
5/6/2025,u_0018,miles_earned,dining,540,android,google,PH
4/6/2025,u_0083,miles_earned,dining,535,ios,facebook,PH
4/5/2025,u_0037,miles_earned,ecommerce,112,android,google,TH
5/23/2025,u_0099,reward_search,lululemon,,ios,facebook,SG
5/11/2025,u_0026,reward_search,shopee,,android,tiktok,MY
4/3/2025,u_0080,miles_earned,shopping,882,web,organic,MY
4/4/2025,u_0071,miles_earned,ecommerce,80,android,facebook,TH
4/13/2025,u_0035,miles_earned,shopping,894,android,organic,SG
4/13/2025,u_0025,miles_earned,ecommerce,98,web,google,ID
4/3/2025,u_0082,share,,,web,tiktok,SG
3/19/2025,u_0083,reward_search,shopee,,web,facebook,PH
4/14/2025,u_0079,miles_earned,dining,525,web,referral,SG
5/31/2025,u_0023,miles_redeemed,hotel,887,ios,google,TH
5/7/2025,u_0080,miles_earned,dining,435,android,organic,MY
5/28/2025,u_0022,miles_earned,dining,517,ios,facebook,SG
5/2/2025,u_0098,miles_earned,dining,532,ios,facebook,MY
4/3/2025,u_0047,miles_earned,dining,542,android,organic,TH
4/26/2025,u_0030,miles_earned,ecommerce,88,ios,facebook,SG
3/7/2025,u_0029,miles_earned,dining,487,ios,referral,ID
4/2/2025,u_0039,miles_redeemed,flight,1890,web,google,SG
4/15/2025,u_0085,reward_search,shopee,,web,facebook,ID
4/29/2025,u_0022,miles_earned,ecommerce,117,ios,facebook,SG
5/5/2025,u_0028,miles_redeemed,flight,1744,web,referral,SG
4/18/2025,u_0038,miles_earned,ecommerce,99,web,tiktok,TH
4/16/2025,u_0069,miles_redeemed,flight,2224,web,referral,TH
3/27/2025,u_0071,miles_redeemed,hotel,1114,android,facebook,TH
4/19/2025,u_0042,miles_earned,shopping,854,ios,tiktok,PH
5/27/2025,u_0022,miles_earned,shopping,825,ios,facebook,SG
5/18/2025,u_0062,miles_earned,ecommerce,88,ios,facebook,MY
3/23/2025,u_0076,miles_earned,shopping,1093,web,organic,TH
3/15/2025,u_0016,share,,,ios,referral,ID
4/23/2025,u_0069,miles_earned,ecommerce,96,android,referral,TH
5/3/2025,u_0036,like,,,ios,google,SG
4/7/2025,u_0077,reward_search,apple,,web,facebook,SG
5/20/2025,u_0016,miles_earned,dining,440,android,referral,ID
5/14/2025,u_0045,like,,,web,google,ID
5/7/2025,u_0017,share,,,web,google,PH
3/28/2025,u_0083,miles_earned,dining,483,web,facebook,PH
3/25/2025,u_0008,miles_redeemed,flight,2236,web,google,SG
3/10/2025,u_0060,miles_earned,shopping,1007,web,organic,PH
3/29/2025,u_0009,miles_earned,dining,434,android,google,TH
4/19/2025,u_0033,reward_search,shopee,,android,google,TH
5/23/2025,u_0080,miles_redeemed,flight,1658,android,organic,MY
3/14/2025,u_0095,share,,,web,facebook,MY
4/14/2025,u_0015,miles_redeemed,flight,1743,ios,organic,SG
5/3/2025,u_0030,miles_earned,dining,577,android,facebook,SG
3/25/2025,u_0046,miles_earned,dining,467,web,google,SG
5/9/2025,u_0004,miles_earned,shopping,844,web,facebook,SG
4/21/2025,u_0081,miles_earned,ecommerce,108,android,organic,TH
3/29/2025,u_0093,share,,,android,referral,MY
5/5/2025,u_0057,miles_redeemed,hotel,1099,ios,organic,TH
3/8/2025,u_0040,miles_redeemed,flight,1926,web,tiktok,MY
5/14/2025,u_0056,miles_redeemed,flight,2357,ios,facebook,PH
5/16/2025,u_0005,like,,,web,tiktok,ID
3/17/2025,u_0081,miles_earned,dining,594,web,organic,TH
4/15/2025,u_0036,share,,,ios,google,SG
3/23/2025,u_0079,miles_earned,ecommerce,91,web,referral,SG
6/2/2025,u_0095,reward_search,shopee,,web,facebook,MY
4/23/2025,u_0036,miles_earned,ecommerce,106,ios,google,SG
3/12/2025,u_0068,share,,,android,organic,TH
3/30/2025,u_0067,miles_redeemed,flight,1638,android,referral,MY
5/23/2025,u_0007,miles_redeemed,flight,1814,web,facebook,PH
